links,names,ratings,cuisine,price_for_one
https://www.zomato.com/hyderabad/minerva-coffee-shop-himayath-nagar/order,Minerva Coffee Shop,4.2,"South Indian, North Indian, Chinese, Ice Cream, Beverages, Desserts",100
https://www.zomato.com/hyderabad/vellanki-foods-ameerpet/order,Vellanki Foods,4.4,Mithai,100
https://www.zomato.com/hyderabad/shree-golden-palace-mehdipatnam/order,Shree Golden Palace,3.9,"North Indian, Biryani, Chinese, South Indian",100
https://www.zomato.com/hyderabad/farmbowl-by-urbankisaan-himayath-nagar/order,FarmBowl By Urbankisaan,3.9,"Healthy Food, Salad",100
https://www.zomato.com/hyderabad/lassi-shop-meerpet/order,Lassi Shop,4,"Fast Food, Burger, Beverages, Shake, Juices, Ice Cream",100
https://www.zomato.com/hyderabad/suprabhat-tiffins-malakpet/order,Suprabhat Tiffins,3.9,South Indian,100
https://www.zomato.com/hyderabad/hotel-sandarshini-1-masab-tank/order,Hotel Sandarshini,4.2,"South Indian, North Indian, Chinese",100
https://www.zomato.com/hyderabad/cake-lamore-himayath-nagar/order,Cake L'amore,3.8,"Bakery, Desserts",100
https://www.zomato.com/hyderabad/balaji-family-dhaba-nallakunta/order,Balaji Family Dhaba,4,"North Indian, Chinese, Biryani, Sichuan",100
https://www.zomato.com/hyderabad/balaji-santhosh-dhaba-kacheguda/order,Balaji Santhosh Dhaba,4,"North Indian, Chinese",300
https://www.zomato.com/hyderabad/theobroma-himayath-nagar/order,Theobroma,New,"Bakery, Desserts, Coffee",300
https://www.zomato.com/hyderabad/new-grand-restaurant-bakery-begum-bazaar/order,New Grand Restaurant & Bakery,4,"Chinese, Bakery",300
https://www.zomato.com/hyderabad/blue-fox-ameerpet/order,Blue Fox,4,"Chinese, Continental, North Indian",300
https://www.zomato.com/hyderabad/balapur-bawarchi-restaurant-meerpet/order,Balapur Bawarchi Restaurant,3.8,"North Indian, Chinese",300
https://www.zomato.com/hyderabad/oven-secretz-attapur/order,Oven Secretz,4.3,"Bakery, Pizza, Fast Food, Burger",300
https://www.zomato.com/hyderabad/california-burrito-boiguda-secunderabad/order,California Burrito,4.3,"Mexican, Healthy Food, American, Salad, Continental, Beverages",300
https://www.zomato.com/hyderabad/the-good-bowl-abids/order,The Good Bowl,3.8,"Asian, North Indian, Pasta, Biryani",300
https://www.zomato.com/hyderabad/minerva-coffee-shop-kothapet/order,Minerva Coffee Shop,4.1,"South Indian, Tea",300
https://www.zomato.com/hyderabad/ms-bakery-attapur/order,MS Bakery,4.3,"Pizza, Rolls, Fast Food, Desserts, Bakery",300
https://www.zomato.com/hyderabad/milan-juice-centre-nampally/order,Milan Juice Centre,4.2,"Beverages, Desserts, Lebanese, Shake, Shawarma",300
https://www.zomato.com/hyderabad/new-balaji-santosh-dhaba-saroor-nagar/order,New Balaji Santosh Dhaba,4.1,"North Indian, Chinese",300
https://www.zomato.com/hyderabad/nausheen-fruit-juice-centre-chandrayanagutta/order,Nausheen Fruit Juice Centre,4.4,"Juices, Beverages",100
https://www.zomato.com/hyderabad/amantran-rtc-x-roads/order,Amantran,3.9,"Bengali, Chinese",100
